dataset,model_used,embedding_model,number_of_clusters,silhouette_score,davies_bouldin_score,calinski_harabasz_score,cluster_id,cluster_size,cluster_percentage,top_terms,example_doc_ids,source_artifact,notes
clinical_trials,MiniBatchKMeans,C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding,20,,,,10,9803,4.0675,blood informed purpose risk diagnosis heart determine test time severe,NCT00530608 NCT00541060 NCT00541619 NCT00573846 NCT00573235,artifacts/clustering/clinical_trials/manifest.json,Intrinsic scores are blank when the clustering build artifact did not compute them.
clinical_trials,MiniBatchKMeans,C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding,20,,,,11,10743,4.4576,surgery pain informed undergoing surgical randomized purpose postoperative anesthesia time,NCT00530036 NCT00530491 NCT00530400 NCT00530998 NCT00541151,artifacts/clustering/clinical_trials/manifest.json,Intrinsic scores are blank when the clustering build artifact did not compute them.
clinical_trials,MiniBatchKMeans,C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding,20,,,,12,12195,5.06,cancer purpose informed tumor surgery diagnosis determine radiation time chemotherapy,NCT00530179 NCT00530010 NCT00530205 NCT00530192 NCT00530569,artifacts/clustering/clinical_trials/manifest.json,Intrinsic scores are blank when the clustering build artifact did not compute them.
clinical_trials,MiniBatchKMeans,C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding,20,,,,13,9445,3.919,pulmonary respiratory chronic lung asthma severe airway test informed diagnosis,NCT00530842 NCT00530062 NCT00541190 NCT00541255 NCT00541918,artifacts/clustering/clinical_trials/manifest.json,Intrinsic scores are blank when the clustering build artifact did not compute them.
clinical_trials,MiniBatchKMeans,C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding,20,,,,14,7472,3.1003,cell cells blood transplantation stem transplant infection marrow bone informed,NCT00530075 NCT00530218 NCT00530686 NCT00573391 NCT00533572,artifacts/clustering/clinical_trials/manifest.json,Intrinsic scores are blank when the clustering build artifact did not compute them.
clinical_trials,MiniBatchKMeans,C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding,20,,,,15,12184,5.0555,infection informed vaccine hiv chronic blood test time vaccination pregnancy,NCT00530972 NCT00530777 NCT00530660 NCT00530140 NCT00541970,artifacts/clustering/clinical_trials/manifest.json,Intrinsic scores are blank when the clustering build artifact did not compute them.
clinical_trials,MiniBatchKMeans,C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding,20,,,,16,9589,3.9787,surgery informed pain purpose bone randomized knee total time infection,NCT00530712 NCT00530803 NCT00541320 NCT00541580 NCT00541658,artifacts/clustering/clinical_trials/manifest.json,Intrinsic scores are blank when the clustering build artifact did not compute them.
clinical_trials,MiniBatchKMeans,C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding,20,,,,17,14339,5.9496,diabetes type blood insulin glucose body mellitus effects weight bmi,NCT00530881 NCT00530738 NCT00530309 NCT00530023 NCT00541775,artifacts/clustering/clinical_trials/manifest.json,Intrinsic scores are blank when the clustering build artifact did not compute them.
clinical_trials,MiniBatchKMeans,C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding,20,,,,18,11412,4.7352,heart cardiac coronary failure informed myocardial blood artery ventricular acute,NCT00530101 NCT00530426 NCT00530361 NCT00530946 NCT00541541,artifacts/clustering/clinical_trials/manifest.json,Intrinsic scores are blank when the clustering build artifact did not compute them.
clinical_trials,MiniBatchKMeans,C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding,20,,,,19,8269,3.431,women pregnancy birth informed risk randomized time pregnant determine blood,NCT00530439 NCT00530374 NCT00530244 NCT00541645 NCT00541892,artifacts/clustering/clinical_trials/manifest.json,Intrinsic scores are blank when the clustering build artifact did not compute them.
