"dataset","method","topic_id","topic_size","frequency","top_terms","topic_diversity","topic_coherence","example_doc_ids","number_of_topics","source_artifact","notes"
"clinical_trials","topic_detection","18","11412","11412","heart cardiac coronary failure informed myocardial blood artery ventricular acute","1.0","","NCT00530101 NCT00530426 NCT00530361 NCT00530946 NCT00541541","20","artifacts/topics/clinical_trials/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"clinical_trials","topic_detection","19","8269","8269","women pregnancy birth informed risk randomized time pregnant determine blood","1.0","","NCT00530439 NCT00530374 NCT00530244 NCT00541645 NCT00541892","20","artifacts/topics/clinical_trials/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","0","17905","17905","job engin career start interview year want compani need graduat","1.0","","15 16 51 52 73","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","1","15928","15928","univers colleg school student cours major graduat studi scienc institut","1.0","","30 89 90 101 102","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","2","18042","18042","weight lose increas fat height gain day rid reduc eat","1.0","","63 64 91 142 153","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","3","13470","13470","sex women girl men masturb feel sexual male woman period","1.0","","27 28 81 82 120","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","4","17025","17025","money onlin websit busi market start compani invest earn traffic","1.0","","2 53 54 57 58","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","5","15434","15434","india place center visit bangalor servic alcohol counti rehab drug","1.0","","39 40 69 70 284","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","6","14669","14669","girl love guy relationship know date friend ask tell want","1.0","","35 36 43 75 76","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","7","35986","35986","word number java function math determin exampl power cell valu","1.0","","8 9 21 33 34","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","8","27794","27794","caus car day drive long without die possibl eat chang","1.0","","72 80 103 123 124","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","9","13547","13547","engin learn comput technolog mechan develop design softwar program know","1.0","","22 237 238 249 337","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","10","26162","26162","phone delet account password iphon android without instagram email number","1.0","","5 19 20 23 24","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","11","16663","16663","contrast similar chines western citi play water major cultur relat","1.0","","17 18 175 176 236","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","12","14197","14197","bank note account card money number black credit tax pay","1.0","","83 84 109 147 148","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","13","15234","15234","employe new compani day know pro job startup posit con","1.0","","55 137 168 217 218","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","14","16503","16503","food import home product color exampl brand dress taffi dish","1.0","","41 42 97 98 140","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","15","11395","11395","trump donald presid elect hillari clinton win presidenti vote think","1.0","","31 32 67 71 203","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","16","18011","18011","life feel think happi know person dream live purpos mind","1.0","","7 62 87 88 127","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","17","14263","14263","stop friend deal overcom feel emot control life love suicid","1.0","","44 99 100 303 304","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","18","21525","21525","world war countri china think govern import unit usa pakistan","1.0","","56 167 173 174 211","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","19","21269","21269","answer facebook ask instagram googl friend person post block time","1.0","","3 6 37 38 92","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","20","12497","12497","movi watch film review seri star war anim think game","1.0","","65 66 93 125 179","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","21","13738","13738","money cost salari pay price earn year dollar month averag","1.0","","47 85 86 149 150","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","22","14955","14955","prepar exam studi improv mark score english learn start need","1.0","","29 59 60 77 110","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","23","16911","16911","learn languag buy laptop app game program phone mobil comput","1.0","","13 14 177 178 270","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","24","22864","22864","india indian note govern pakistan ban modi think rupe economi","1.0","","1 4 161 162 183","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","25","16090","16090","life song heard exampl joke favorit experi ask word sentenc","1.0","","12 45 61 107 108","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","26","10185","10185","dog anim cat eat mix human puppi train bite kill","1.0","","141 300 360 473 474","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","27","18979","18979","exist god believ univers human earth life energi creat possibl","1.0","","11 189 190 247 254","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","28","16413","16413","time long averag live year world day one desert temperatur","1.0","","10 50 271 272 296","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
"quora","topic_detection","29","15277","15277","learn book read languag start write english prepar improv program","1.0","","25 26 119 131 132","30","artifacts/topics/quora/manifest.json","Topic coherence is blank unless a separate topic coherence artifact is available."
