"dataset","model_used","embedding_model","number_of_clusters","silhouette_score","davies_bouldin_score","calinski_harabasz_score","cluster_id","cluster_size","cluster_percentage","top_terms","example_doc_ids","source_artifact","notes"
"clinical_trials","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding","20","","","","10","9803","4.0675","blood informed purpose risk diagnosis heart determine test time severe","NCT00530608 NCT00541060 NCT00541619 NCT00573846 NCT00573235","artifacts/clustering/clinical_trials/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"clinical_trials","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding","20","","","","11","10743","4.4576","surgery pain informed undergoing surgical randomized purpose postoperative anesthesia time","NCT00530036 NCT00530491 NCT00530400 NCT00530998 NCT00541151","artifacts/clustering/clinical_trials/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"clinical_trials","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding","20","","","","12","12195","5.06","cancer purpose informed tumor surgery diagnosis determine radiation time chemotherapy","NCT00530179 NCT00530010 NCT00530205 NCT00530192 NCT00530569","artifacts/clustering/clinical_trials/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"clinical_trials","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding","20","","","","13","9445","3.919","pulmonary respiratory chronic lung asthma severe airway test informed diagnosis","NCT00530842 NCT00530062 NCT00541190 NCT00541255 NCT00541918","artifacts/clustering/clinical_trials/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"clinical_trials","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding","20","","","","14","7472","3.1003","cell cells blood transplantation stem transplant infection marrow bone informed","NCT00530075 NCT00530218 NCT00530686 NCT00573391 NCT00533572","artifacts/clustering/clinical_trials/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"clinical_trials","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding","20","","","","15","12184","5.0555","infection informed vaccine hiv chronic blood test time vaccination pregnancy","NCT00530972 NCT00530777 NCT00530660 NCT00530140 NCT00541970","artifacts/clustering/clinical_trials/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"clinical_trials","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding","20","","","","16","9589","3.9787","surgery informed pain purpose bone randomized knee total time infection","NCT00530712 NCT00530803 NCT00541320 NCT00541580 NCT00541658","artifacts/clustering/clinical_trials/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"clinical_trials","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding","20","","","","17","14339","5.9496","diabetes type blood insulin glucose body mellitus effects weight bmi","NCT00530881 NCT00530738 NCT00530309 NCT00530023 NCT00541775","artifacts/clustering/clinical_trials/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"clinical_trials","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding","20","","","","18","11412","4.7352","heart cardiac coronary failure informed myocardial blood artery ventricular acute","NCT00530101 NCT00530426 NCT00530361 NCT00530946 NCT00541541","artifacts/clustering/clinical_trials/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"clinical_trials","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\clinical_trials\embedding","20","","","","19","8269","3.431","women pregnancy birth informed risk randomized time pregnant determine blood","NCT00530439 NCT00530374 NCT00530244 NCT00541645 NCT00541892","artifacts/clustering/clinical_trials/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","0","17905","3.424","job engin career start interview year want compani need graduat","15 16 51 52 73","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","1","15928","3.0459","univers colleg school student cours major graduat studi scienc institut","30 89 90 101 102","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","2","18042","3.4502","weight lose increas fat height gain day rid reduc eat","63 64 91 142 153","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","3","13470","2.5759","sex women girl men masturb feel sexual male woman period","27 28 81 82 120","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","4","17025","3.2557","money onlin websit busi market start compani invest earn traffic","2 53 54 57 58","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","5","15434","2.9514","india place center visit bangalor servic alcohol counti rehab drug","39 40 69 70 284","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","6","14669","2.8052","girl love guy relationship know date friend ask tell want","35 36 43 75 76","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","7","35986","6.8816","word number java function math determin exampl power cell valu","8 9 21 33 34","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","8","27794","5.315","caus car day drive long without die possibl eat chang","72 80 103 123 124","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","9","13547","2.5906","engin learn comput technolog mechan develop design softwar program know","22 237 238 249 337","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","10","26162","5.003","phone delet account password iphon android without instagram email number","5 19 20 23 24","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","11","16663","3.1865","contrast similar chines western citi play water major cultur relat","17 18 175 176 236","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","12","14197","2.7149","bank note account card money number black credit tax pay","83 84 109 147 148","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","13","15234","2.9132","employe new compani day know pro job startup posit con","55 137 168 217 218","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","14","16503","3.1559","food import home product color exampl brand dress taffi dish","41 42 97 98 140","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","15","11395","2.1791","trump donald presid elect hillari clinton win presidenti vote think","31 32 67 71 203","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","16","18011","3.4442","life feel think happi know person dream live purpos mind","7 62 87 88 127","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","17","14263","2.7275","stop friend deal overcom feel emot control life love suicid","44 99 100 303 304","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","18","21525","4.1162","world war countri china think govern import unit usa pakistan","56 167 173 174 211","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","19","21269","4.0673","answer facebook ask instagram googl friend person post block time","3 6 37 38 92","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","20","12497","2.3898","movi watch film review seri star war anim think game","65 66 93 125 179","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","21","13738","2.6271","money cost salari pay price earn year dollar month averag","47 85 86 149 150","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","22","14955","2.8598","prepar exam studi improv mark score english learn start need","29 59 60 77 110","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","23","16911","3.2339","learn languag buy laptop app game program phone mobil comput","13 14 177 178 270","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","24","22864","4.3723","india indian note govern pakistan ban modi think rupe economi","1 4 161 162 183","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","25","16090","3.0769","life song heard exampl joke favorit experi ask word sentenc","12 45 61 107 108","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","26","10185","1.9477","dog anim cat eat mix human puppi train bite kill","141 300 360 473 474","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","27","18979","3.6294","exist god believ univers human earth life energi creat possibl","11 189 190 247 254","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","28","16413","3.1387","time long averag live year world day one desert temperatur","10 50 271 272 296","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
"quora","MiniBatchKMeans","C:\Users\LONOVO\Desktop\Final Year 5\IR\ir-search-engine\indexes\quora\embedding","30","","","","29","15277","2.9214","learn book read languag start write english prepar improv program","25 26 119 131 132","artifacts/clustering/quora/manifest.json","Intrinsic scores are blank when the clustering build artifact did not compute them."
